year,word,frequency
1700,cicada,0.004171
1701,cicada,0.010807
1702,cicada,0.022656
1703,cicada,0.038878
1704,cicada,0.055293
1705,cicada,0.065452
1706,cicada,0.064987
1707,cicada,0.05568
1708,cicada,0.044456
1709,cicada,0.038911
1710,cicada,0.042842
1711,cicada,0.055455
1712,cicada,0.071835
1713,cicada,0.084372
1714,cicada,0.089176
1715,cicada,0.088585
1716,cicada,0.087338
1717,cicada,0.084841
1718,cicada,0.076365
1719,cicada,0.060564
1720,cicada,0.049269
1721,cicada,0.05497
1722,cicada,0.103205
1723,cicada,0.218561
1724,cicada,0.396497
1725,cicada,0.573144
1726,cicada,0.649409
1727,cicada,0.5763
1728,cicada,0.404394
1729,cicada,0.232134
1730,cicada,0.119578
1731,cicada,0.064749
1732,cicada,0.040382
1733,cicada,0.026951
1734,cicada,0.027128
1735,cicada,0.042264
1736,cicada,0.074273
1737,cicada,0.11403
1738,cicada,0.144256
1739,cicada,0.150924
1740,cicada,0.132827
1741,cicada,0.10119
1742,cicada,0.069169
1743,cicada,0.044603
1744,cicada,0.029191
1745,cicada,0.021798
1746,cicada,0.02158
1747,cicada,0.026992
1748,cicada,0.034966
1749,cicada,0.040384
1750,cicada,0.039787
1751,cicada,0.034915
1752,cicada,0.03127
1753,cicada,0.032294
1754,cicada,0.036366
1755,cicada,0.039035
1756,cicada,0.038374
1757,cicada,0.037818
1758,cicada,0.042378
1759,cicada,0.057141
1760,cicada,0.083197
1761,cicada,0.122634
1762,cicada,0.175186
1763,cicada,0.232833
1764,cicada,0.276613
1765,cicada,0.286034
1766,cicada,0.255367
1767,cicada,0.199658
1768,cicada,0.143432
1769,cicada,0.103497
1770,cicada,0.084662
1771,cicada,0.083352
1772,cicada,0.091343
1773,cicada,0.100728
1774,cicada,0.103386
1775,cicada,0.097448
1776,cicada,0.086443
1777,cicada,0.076848
1778,cicada,0.072497
1779,cicada,0.074491
1780,cicada,0.081059
1781,cicada,0.088158
1782,cicada,0.091011
1783,cicada,0.08892
1784,cicada,0.086494
1785,cicada,0.089127
1786,cicada,0.097382
1787,cicada,0.106189
1788,cicada,0.112471
1789,cicada,0.118596
1790,cicada,0.127121
1791,cicada,0.135748
1792,cicada,0.137874
1793,cicada,0.131424
1794,cicada,0.124327
1795,cicada,0.128266
1796,cicada,0.146935
1797,cicada,0.171229
1798,cicada,0.186402
1799,cicada,0.184214
1800,cicada,0.169263
1801,cicada,0.153161
1802,cicada,0.147777
1803,cicada,0.159819
1804,cicada,0.187044
1805,cicada,0.219205
1806,cicada,0.243315
1807,cicada,0.250953
1808,cicada,0.242337
1809,cicada,0.22218
1810,cicada,0.197297
1811,cicada,0.175078
1812,cicada,0.161777
1813,cicada,0.158709
1814,cicada,0.162537
1815,cicada,0.169629
1816,cicada,0.178038
1817,cicada,0.186094
1818,cicada,0.190834
1819,cicada,0.190393
1820,cicada,0.186423
1821,cicada,0.182036
1822,cicada,0.179785
1823,cicada,0.180952
1824,cicada,0.187315
1825,cicada,0.198897
1826,cicada,0.212235
1827,cicada,0.222838
1828,cicada,0.227843
1829,cicada,0.228194
1830,cicada,0.227042
1831,cicada,0.228578
1832,cicada,0.237489
1833,cicada,0.254022
1834,cicada,0.272024
1835,cicada,0.281625
1836,cicada,0.278614
1837,cicada,0.267578
1838,cicada,0.256985
1839,cicada,0.25039
1840,cicada,0.244234
1841,cicada,0.233787
1842,cicada,0.218288
1843,cicada,0.20311
1844,cicada,0.195461
1845,cicada,0.198158
1846,cicada,0.208389
1847,cicada,0.22021
1848,cicada,0.231671
1849,cicada,0.244365
1850,cicada,0.25812
1851,cicada,0.267751
1852,cicada,0.267703
1853,cicada,0.258854
1854,cicada,0.246217
1855,cicada,0.233891
1856,cicada,0.223214
1857,cicada,0.215619
1858,cicada,0.213363
1859,cicada,0.216587
1860,cicada,0.223259
1861,cicada,0.229794
1862,cicada,0.234232
1863,cicada,0.236858
1864,cicada,0.242728
1865,cicada,0.259999
1866,cicada,0.293223
1867,cicada,0.33669
1868,cicada,0.374723
1869,cicada,0.391465
1870,cicada,0.382223
1871,cicada,0.355461
1872,cicada,0.323889
1873,cicada,0.297594
1874,cicada,0.282429
1875,cicada,0.279257
1876,cicada,0.284555
1877,cicada,0.292641
1878,cicada,0.299811
1879,cicada,0.310979
1880,cicada,0.334104
1881,cicada,0.375152
